"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","Логин курьера без обязательного поля возвращает ошибку","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_login_courier","",""
"","60459","Логин курьера без обязательного поля возвращает ошибку","tests","2026-06-08","failed","2026-06-08","TestLoginCourier","test_login_courier","",""
"","12579","Получение списка заказов возвращает 200 и список orders","tests","2026-06-08","passed","2026-06-08","TestGetOrders","test_get_orders","",""
"","502","Создание заказа с разными цветами возвращает 201 и track","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_create_order","",""
"","1830","Логин курьера с неправильным паролем возвращает ошибку","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_login_courier","",""
"","450","Создание заказа с разными цветами возвращает 201 и track","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_create_order","",""
"","496","Создание заказа с разными цветами возвращает 201 и track","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_create_order","",""
"","432","Создание заказа с разными цветами возвращает 201 и track","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_create_order","",""
"","1360","Создание курьера с валидными данными возвращает 201 и ok true","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_create_courier","",""
"","1806","Создание двух одинаковых курьеров возвращает ошибку","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_create_courier","",""
"","448","Создание курьера без обязательного поля возвращает ошибку","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_create_courier","",""
"","1837","Логин курьера с валидными данными возвращает 200 и id","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_login_courier","",""
"","676","Логин несуществующего курьера возвращает ошибку","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_login_courier","",""
"","424","Создание курьера без обязательного поля возвращает ошибку","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_create_courier","",""
